연번,관리기관명,소재지도로명주소,행정동,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,WGS84위도,WGS84경도,데이터기준일자,제공기관명
50,한빛구청,세종특별자치시 한빛구 나래동 13로 14,나래동,생활방범,1,800,도로,30,2021-05,37.559701,127.057201,2026-08-31,한빛구청
51,한빛구청,세종특별자치시 한빛구 나래동 16로 41,나래동,주정차단속,2,800,공원,30,2020-03,37.557889,127.059548,2026-08-31,한빛구청
52,한빛구청,세종특별자치시 한빛구 나래동 22로 78,나래동,생활방범,1,400,주차장,30,2024-04,37.561303,127.059751,2026-08-31,한빛구청
53,한빛구청,세종특별자치시 한빛구 나래동 31로 29,나래동,어린이보호,2,200,통학로,30,2025-01,37.558847,127.057568,2026-08-31,한빛구청
54,한빛구청,세종특별자치시 한빛구 나래동 37로 77,나래동,교통단속,1,200,통학로,30,2025-10,37.560624,127.054609,2026-08-31,한빛구청
55,한빛구청,세종특별자치시 한빛구 나래동 29로 64,나래동,생활방범,2,200,교차로,30,2021-08,37.561406,127.058604,2026-08-31,한빛구청
56,한빛구청,세종특별자치시 한빛구 나래동 24로 55,나래동,어린이보호,1,800,주차장,30,2025-11,37.560084,127.05869,2026-08-31,한빛구청
57,한빛구청,세종특별자치시 한빛구 나래동 4로 55,나래동,쓰레기단속,1,800,도로,30,2023-09,37.559513,127.061247,2026-08-31,한빛구청
58,한빛구청,세종특별자치시 한빛구 나래동 1로 17,나래동,교통단속,1,800,도로,30,2020-04,37.563051,127.053952,2026-08-31,한빛구청
59,한빛구청,세종특별자치시 한빛구 나래동 8로 77,나래동,어린이보호,4,400,주차장,30,2021-03,37.561678,127.055777,2026-08-31,한빛구청
60,한빛구청,세종특별자치시 한빛구 나래동 4로 15,나래동,어린이보호,4,400,공원,30,2023-02,37.557092,127.055651,2026-08-31,한빛구청
61,한빛구청,세종특별자치시 한빛구 나래동 31로 8,나래동,교통단속,2,400,공원,30,2019-02,37.558223,127.056758,2026-08-31,한빛구청
62,한빛구청,세종특별자치시 한빛구 나래동 5로 27,나래동,쓰레기단속,1,200,통학로,30,2020-09,37.555808,127.053143,2026-08-31,한빛구청
63,한빛구청,세종특별자치시 한빛구 나래동 33로 39,나래동,생활방범,2,200,이면도로,30,2025-08,37.560943,127.049406,2026-08-31,한빛구청
64,한빛구청,세종특별자치시 한빛구 나래동 11로 70,나래동,주정차단속,2,200,통학로,30,2025-03,37.559583,127.056246,2026-08-31,한빛구청
65,한빛구청,세종특별자치시 한빛구 나래동 28로 74,나래동,어린이보호,1,400,교차로,30,2024-12,37.562245,127.058839,2026-08-31,한빛구청
66,한빛구청,세종특별자치시 한빛구 나래동 12로 14,나래동,재난재해,2,200,교차로,30,2024-03,37.553747,127.053765,2026-08-31,한빛구청
67,한빛구청,세종특별자치시 한빛구 나래동 10로 71,나래동,쓰레기단속,1,200,교차로,30,2025-05,37.558564,127.059965,2026-08-31,한빛구청
68,한빛구청,세종특별자치시 한빛구 나래동 17로 24,나래동,어린이보호,1,800,공원,30,2020-01,37.55969,127.059684,2026-08-31,한빛구청
69,한빛구청,세종특별자치시 한빛구 라온동 10로 50,라온동,쓰레기단속,1,800,공원,30,2025-07,37.562585,127.045923,2026-08-31,한빛구청
70,한빛구청,세종특별자치시 한빛구 라온동 17로 21,라온동,교통단속,4,400,도로,30,2019-01,37.567481,127.041796,2026-08-31,한빛구청
71,한빛구청,세종특별자치시 한빛구 라온동 27로 77,라온동,어린이보호,4,800,주차장,30,2025-09,37.565392,127.037246,2026-08-31,한빛구청
72,한빛구청,세종특별자치시 한빛구 라온동 33로 11,라온동,어린이보호,1,200,교차로,30,2025-07,37.558043,127.044841,2026-08-31,한빛구청
73,한빛구청,세종특별자치시 한빛구 라온동 8로 34,라온동,쓰레기단속,1,400,도로,30,2019-07,37.566325,127.038745,2026-08-31,한빛구청
74,한빛구청,세종특별자치시 한빛구 라온동 32로 36,라온동,생활방범,2,200,공원,30,2020-08,37.559309,127.043077,2026-08-31,한빛구청
75,한빛구청,세종특별자치시 한빛구 라온동 9로 62,라온동,어린이보호,4,800,도로,30,2021-09,37.564502,127.041164,2026-08-31,한빛구청
76,한빛구청,세종특별자치시 한빛구 라온동 22로 40,라온동,생활방범,2,400,도로,30,2019-09,37.565439,127.0431,2026-08-31,한빛구청
77,한빛구청,세종특별자치시 한빛구 라온동 15로 89,라온동,재난재해,1,200,통학로,30,2019-01,37.563922,127.040463,2026-08-31,한빛구청
78,한빛구청,세종특별자치시 한빛구 라온동 14로 10,라온동,생활방범,2,800,통학로,30,2025-04,37.560117,127.041147,2026-08-31,한빛구청
79,한빛구청,세종특별자치시 한빛구 라온동 23로 18,라온동,재난재해,2,400,주차장,30,2023-02,37.562846,127.043774,2026-08-31,한빛구청
80,한빛구청,세종특별자치시 한빛구 라온동 25로 59,라온동,어린이보호,1,400,공원,30,2025-03,37.565318,127.045856,2026-08-31,한빛구청
81,한빛구청,세종특별자치시 한빛구 라온동 6로 59,라온동,교통단속,1,400,주차장,30,2023-02,37.564773,127.040488,2026-08-31,한빛구청
82,한빛구청,세종특별자치시 한빛구 라온동 37로 38,라온동,생활방범,2,400,도로,30,2020-05,37.55692,127.040324,2026-08-31,한빛구청
83,한빛구청,세종특별자치시 한빛구 라온동 26로 30,라온동,주정차단속,1,800,통학로,30,2019-04,37.561328,127.039869,2026-08-31,한빛구청
84,한빛구청,세종특별자치시 한빛구 라온동 12로 30,라온동,교통단속,1,400,주차장,30,2024-08,37.562861,127.042411,2026-08-31,한빛구청
85,한빛구청,세종특별자치시 한빛구 라온동 4로 15,라온동,생활방범,2,400,통학로,30,2023-05,37.562132,127.043558,2026-08-31,한빛구청
86,한빛구청,세종특별자치시 한빛구 라온동 17로 47,라온동,생활방범,1,800,주차장,30,2020-07,37.564627,127.039513,2026-08-31,한빛구청
87,한빛구청,세종특별자치시 한빛구 라온동 37로 60,라온동,교통단속,1,200,도로,30,2024-08,37.563801,127.048852,2026-08-31,한빛구청
88,한빛구청,세종특별자치시 한빛구 라온동 26로 73,라온동,어린이보호,2,400,이면도로,30,2019-08,37.5656,127.043553,2026-08-31,한빛구청
89,한빛구청,세종특별자치시 한빛구 라온동 22로 82,라온동,주정차단속,2,800,공원,30,2021-06,37.564053,127.039227,2026-08-31,한빛구청
90,한빛구청,세종특별자치시 한빛구 라온동 27로 6,라온동,재난재해,1,400,공원,30,2025-09,37.568843,127.043706,2026-08-31,한빛구청
91,한빛구청,세종특별자치시 한빛구 라온동 8로 21,라온동,교통단속,1,400,통학로,30,2025-08,37.562877,127.043996,2026-08-31,한빛구청
92,한빛구청,세종특별자치시 한빛구 라온동 25로 84,라온동,재난재해,4,800,도로,30,2023-07,37.561716,127.04379,2026-08-31,한빛구청
93,한빛구청,세종특별자치시 한빛구 바다동 22로 13,바다동,어린이보호,4,200,주차장,30,2024-09,37.561818,127.061485,2026-08-31,한빛구청
94,한빛구청,세종특별자치시 한빛구 바다동 11로 21,바다동,교통단속,1,800,통학로,30,2024-09,37.567461,127.067689,2026-08-31,한빛구청
95,한빛구청,세종특별자치시 한빛구 바다동 21로 49,바다동,쓰레기단속,2,800,이면도로,30,2023-12,37.55757,127.06989,2026-08-31,한빛구청
96,한빛구청,세종특별자치시 한빛구 바다동 33로 52,바다동,교통단속,1,800,공원,30,2019-08,37.559238,127.065984,2026-08-31,한빛구청
97,한빛구청,세종특별자치시 한빛구 바다동 28로 7,바다동,교통단속,2,800,통학로,30,2019-05,37.560178,127.067086,2026-08-31,한빛구청
98,한빛구청,세종특별자치시 한빛구 바다동 33로 51,바다동,쓰레기단속,1,800,이면도로,30,2023-09,37.561667,127.068816,2026-08-31,한빛구청
99,한빛구청,세종특별자치시 한빛구 바다동 28로 13,바다동,재난재해,1,200,이면도로,30,2023-08,37.561946,127.063345,2026-08-31,한빛구청
100,한빛구청,세종특별자치시 한빛구 바다동 28로 12,바다동,주정차단속,2,800,도로,30,2023-01,37.55739,127.07109,2026-08-31,한빛구청
101,한빛구청,세종특별자치시 한빛구 바다동 10로 3,바다동,생활방범,1,400,이면도로,30,2024-07,37.563514,127.071313,2026-08-31,한빛구청
102,한빛구청,세종특별자치시 한빛구 바다동 22로 56,바다동,생활방범,1,400,도로,30,2024-03,37.558981,127.067711,2026-08-31,한빛구청
103,한빛구청,세종특별자치시 한빛구 바다동 23로 80,바다동,주정차단속,1,200,교차로,30,2021-05,37.565132,127.065367,2026-08-31,한빛구청
104,한빛구청,세종특별자치시 한빛구 바다동 18로 59,바다동,주정차단속,1,800,도로,30,2021-10,37.560166,127.072113,2026-08-31,한빛구청
105,한빛구청,세종특별자치시 한빛구 바다동 32로 75,바다동,어린이보호,1,800,통학로,30,2019-04,37.558793,127.062816,2026-08-31,한빛구청
106,한빛구청,세종특별자치시 한빛구 바다동 18로 84,바다동,교통단속,4,200,이면도로,30,2021-10,37.564001,127.066911,2026-08-31,한빛구청
107,한빛구청,세종특별자치시 한빛구 바다동 15로 24,바다동,어린이보호,2,800,도로,30,2023-11,37.562838,127.065548,2026-08-31,한빛구청
108,한빛구청,세종특별자치시 한빛구 바다동 12로 40,바다동,생활방범,1,800,공원,30,2023-05,37.561477,127.067611,2026-08-31,한빛구청
109,한빛구청,세종특별자치시 한빛구 새벽동 40로 67,새벽동,생활방범,2,200,주차장,30,2021-06,37.548807,127.046368,2026-08-31,한빛구청
110,한빛구청,세종특별자치시 한빛구 새벽동 39로 63,새벽동,생활방범,1,800,통학로,30,2025-12,37.542806,127.051088,2026-08-31,한빛구청
111,한빛구청,세종특별자치시 한빛구 새벽동 13로 76,새벽동,어린이보호,4,400,주차장,30,2020-05,37.544269,127.05307,2026-08-31,한빛구청
112,한빛구청,세종특별자치시 한빛구 새벽동 31로 22,새벽동,생활방범,1,200,주차장,30,2025-12,37.55317,127.049763,2026-08-31,한빛구청
113,한빛구청,세종특별자치시 한빛구 새벽동 39로 7,새벽동,생활방범,2,400,주차장,30,2019-12,37.548079,127.047708,2026-08-31,한빛구청
114,한빛구청,세종특별자치시 한빛구 새벽동 21로 11,새벽동,생활방범,1,400,교차로,30,2023-12,37.54863,127.048818,2026-08-31,한빛구청
115,한빛구청,세종특별자치시 한빛구 새벽동 30로 79,새벽동,생활방범,2,400,통학로,30,2020-07,37.546232,127.052382,2026-08-31,한빛구청
116,한빛구청,세종특별자치시 한빛구 새벽동 31로 47,새벽동,주정차단속,1,800,교차로,30,2021-10,37.545477,127.052457,2026-08-31,한빛구청
117,한빛구청,세종특별자치시 한빛구 새벽동 24로 62,새벽동,주정차단속,1,800,도로,30,2020-10,37.54914,127.057095,2026-08-31,한빛구청
118,한빛구청,세종특별자치시 한빛구 새벽동 40로 70,새벽동,교통단속,1,200,도로,30,2020-06,37.545477,127.046917,2026-08-31,한빛구청
119,한빛구청,세종특별자치시 한빛구 새벽동 40로 36,새벽동,어린이보호,2,800,이면도로,30,2023-10,37.547482,127.046823,2026-08-31,한빛구청
120,한빛구청,세종특별자치시 한빛구 새벽동 24로 64,새벽동,교통단속,1,800,공원,30,2021-07,37.546674,127.055149,2026-08-31,한빛구청
121,한빛구청,세종특별자치시 한빛구 새벽동 18로 27,새벽동,어린이보호,1,800,통학로,30,2020-01,37.542107,127.053175,2026-08-31,한빛구청
122,한빛구청,세종특별자치시 한빛구 다솜동 12로 83,다솜동,재난재해,4,800,교차로,30,2025-05,37.543973,127.061438,2026-08-31,한빛구청
123,한빛구청,세종특별자치시 한빛구 다솜동 11로 88,다솜동,생활방범,2,200,통학로,30,2019-10,37.547864,127.059726,2026-08-31,한빛구청
125,한빛구청,세종특별자치시 한빛구 다솜동 6로 48,다솜동,주정차단속,1,200,통학로,30,2023-03,37.551442,127.06305,2026-08-31,한빛구청
126,한빛구청,세종특별자치시 한빛구 다솜동 29로 75,다솜동,재난재해,1,800,교차로,30,2021-05,37.549188,127.063319,2026-08-31,한빛구청
127,한빛구청,세종특별자치시 한빛구 다솜동 5로 34,다솜동,생활방범,1,200,이면도로,30,2019-10,37.549211,127.060624,2026-08-31,한빛구청
128,한빛구청,세종특별자치시 한빛구 다솜동 17로 36,다솜동,쓰레기단속,1,800,도로,30,2025-09,37.546185,127.064432,2026-08-31,한빛구청
131,한빛구청,세종특별자치시 한빛구 마루동 13로 51,마루동,주정차단속,2,200,주차장,30,2025-09,37.55095,127.039653,2026-08-31,한빛구청
132,한빛구청,세종특별자치시 한빛구 마루동 21로 21,마루동,재난재해,2,800,공원,30,2020-11,37.547823,127.031359,2026-08-31,한빛구청
133,한빛구청,세종특별자치시 한빛구 마루동 17로 30,마루동,생활방범,2,800,주차장,30,2023-03,37.550539,127.03455,2026-08-31,한빛구청
134,한빛구청,세종특별자치시 한빛구 마루동 16로 74,마루동,주정차단속,4,400,교차로,30,2024-04,37.546877,127.038005,2026-08-31,한빛구청
135,한빛구청,세종특별자치시 한빛구 마루동 2로 8,마루동,교통단속,2,800,이면도로,30,2025-12,37.546714,127.036636,2026-08-31,한빛구청
136,한빛구청,세종특별자치시 한빛구 마루동 14로 22,마루동,교통단속,1,200,도로,30,2021-08,37.55572,127.033363,2026-08-31,한빛구청
137,한빛구청,세종특별자치시 한빛구 마루동 30로 80,마루동,생활방범,1,200,통학로,30,2021-04,37.555392,127.03902,2026-08-31,한빛구청
138,한빛구청,세종특별자치시 한빛구 마루동 25로 73,마루동,생활방범,1,800,교차로,30,2024-08,37.549712,127.033618,2026-08-31,한빛구청
139,한빛구청,세종특별자치시 한빛구 마루동 39로 36,마루동,주정차단속,2,800,주차장,30,2024-02,37.552959,127.034591,2026-08-31,한빛구청
140,한빛구청,세종특별자치시 한빛구 마루동 4로 1,마루동,생활방범,1,200,도로,30,2019-08,37.551482,127.028365,2026-08-31,한빛구청
141,한빛구청,세종특별자치시 한빛구 마루동 15로 58,마루동,생활방범,2,400,이면도로,30,2024-05,37.546777,127.036353,2026-08-31,한빛구청
142,한빛구청,세종특별자치시 한빛구 마루동 3로 58,마루동,생활방범,2,400,이면도로,30,2022-02,37.5461,127.035917,2026-08-31,한빛구청
