세그먼트구분,세그먼트,건수,평균처리일수,평균만족도,만족도응답수,재민원건수,재민원율(%)
민원유형×행정동,건축 인허가 / 바다동,12,15.1,2.83,6,2,16.7
민원유형×행정동,건축 인허가 / 다솜동,11,13.4,2.86,7,1,9.1
민원유형×행정동,가로등 고장 / 라온동,11,4.8,4.17,6,2,18.2
민원유형×행정동,불법주정차 / 다솜동,11,6.2,4.25,4,1,9.1
민원유형×행정동,가로등 고장 / 새벽동,11,6.1,4.2,5,1,9.1
민원유형×행정동,가로등 고장 / 바다동,11,7.3,4.33,3,3,27.3
민원유형×행정동,도로파손 / 나래동,11,6.0,4.0,7,2,18.2
민원유형×행정동,소음 / 라온동,10,8.4,4.17,6,0,0.0
민원유형×행정동,복지 상담 / 나래동,10,4.0,4.5,8,1,10.0
민원유형×행정동,공원 관리 / 마루동,10,6.2,4.0,4,3,30.0
민원유형×행정동,도로파손 / 마루동,10,6.4,4.67,6,2,20.0
민원유형×행정동,공원 관리 / 가온동,10,12.9,3.25,4,2,20.0
민원유형×행정동,소음 / 마루동,10,6.4,4.29,7,1,10.0
민원유형×행정동,악취 / 바다동,10,7.5,3.83,6,1,10.0
민원유형×행정동,도로파손 / 가온동,10,11.5,4.0,5,0,0.0
민원유형×행정동,가로등 고장 / 마루동,9,7.4,4.67,3,1,11.1
민원유형×행정동,도로파손 / 바다동,9,6.4,4.29,7,2,22.2
민원유형×행정동,복지 상담 / 마루동,9,3.9,4.5,2,1,11.1
민원유형×행정동,복지 상담 / 다솜동,9,5.2,4.17,6,0,0.0
민원유형×행정동,소음 / 다솜동,9,5.6,4.0,6,0,0.0
민원유형×행정동,악취 / 라온동,9,7.4,3.8,5,1,11.1
민원유형×행정동,복지 상담 / 라온동,8,4.3,4.0,3,2,25.0
민원유형×행정동,악취 / 새벽동,8,8.2,3.57,7,3,37.5
민원유형×행정동,기타 / 새벽동,8,7.0,4.17,6,1,12.5
민원유형×행정동,건축 인허가 / 새벽동,8,12.5,3.17,6,1,12.5
민원유형×행정동,도로파손 / 다솜동,8,6.9,4.33,3,1,12.5
민원유형×행정동,기타 / 다솜동,8,6.6,4.0,4,1,12.5
