"번호","문화시설명","주제분류","주소","자치구","위도","경도","전화번호","유무료"
"29","예시시설 029","공연장","서울특별시 동대문구 (예시 주소)","동대문구","37.569716","127.030623","02-0000-0000","유료"
"30","예시시설 030","도서관","서울특별시 동대문구 (예시 주소)","동대문구","37.556851","127.044182","02-0000-0000","무료"
"31","예시시설 031","생활문화센터","서울특별시 동대문구 (예시 주소)","동대문구","37.584221","127.074045","02-0000-0000","유료"
"32","예시시설 032","문화원","서울특별시 동대문구 (예시 주소)","동대문구","37.561777","127.012791","02-0000-0000","유료"
"33","예시시설 033","미술관","서울특별시 동대문구 (예시 주소)","동대문구","37.580046","127.060584","02-0000-0000","유료"
"34","예시시설 034","문화원","서울특별시 중랑구 (예시 주소)","중랑구","37.599321","127.117951","02-0000-0000","유료"
"35","예시시설 035","생활문화센터","서울특별시 중랑구 (예시 주소)","중랑구","37.61374","127.082522","02-0000-0000","무료"
"36","예시시설 036","미술관","서울특별시 중랑구 (예시 주소)","중랑구","37.615441","127.095268","02-0000-0000","무료"
"37","예시시설 037","공연장","서울특별시 중랑구 (예시 주소)","중랑구","37.602244","127.111979","02-0000-0000","무료"
"38","예시시설 038","도서관","서울특별시 중랑구 (예시 주소)","중랑구","37.612194","127.091565","02-0000-0000","무료"
"39","예시시설 039","미술관","서울특별시 중랑구 (예시 주소)","중랑구","37.603217","127.096012","02-0000-0000","유료"
"40","예시시설 040","공연장","서울특별시 중랑구 (예시 주소)","중랑구","37.61527","127.095007","02-0000-0000","무료"
"41","예시시설 041","미술관","서울특별시 성북구 (예시 주소)","성북구","37.597323","127.036275","02-0000-0000","유료"
"42","예시시설 042","생활문화센터","서울특별시 성북구 (예시 주소)","성북구","37.598389","127.015131","02-0000-0000","유료"
"43","예시시설 043","생활문화센터","서울특별시 성북구 (예시 주소)","성북구","37.605357","127.004289","02-0000-0000","유료"
"44","예시시설 044","박물관","서울특별시 성북구 (예시 주소)","성북구","37.612943","127.022794","02-0000-0000","무료"
"45","예시시설 045","공연장","서울특별시 성북구 (예시 주소)","성북구","37.580444","127.006266","02-0000-0000","유료"
"46","예시시설 046","공연장","서울특별시 성북구 (예시 주소)","성북구","37.597409","127.006059","02-0000-0000","유료"
"47","예시시설 047","생활문화센터","서울특별시 성북구 (예시 주소)","성북구","37.572453","127.012716","02-0000-0000","무료"
"48","예시시설 048","생활문화센터","서울특별시 성북구 (예시 주소)","성북구","37.610176","126.978274","02-0000-0000","유료"
"49","예시시설 049","박물관","서울특별시 성북구 (예시 주소)","성북구","37.593122","127.009376","02-0000-0000","무료"
"50","예시시설 050","도서관","서울특별시 성북구 (예시 주소)","성북구","37.599027","127.024034","02-0000-0000","유료"
"51","예시시설 051","공연장","서울특별시 성북구 (예시 주소)","성북구","37.614473","127.025215","02-0000-0000","무료"
"52","예시시설 052","미술관","서울특별시 성북구 (예시 주소)","성북구","37.599142","126.993708","02-0000-0000","유료"
"53","예시시설 053","생활문화센터","서울특별시 강북구 (예시 주소)","강북구","37.623972","127.018265","02-0000-0000","무료"
"54","예시시설 054","미술관","서울특별시 강북구 (예시 주소)","강북구","37.656096","127.032504","02-0000-0000","유료"
"55","예시시설 055","공연장","서울특별시 강북구 (예시 주소)","강북구","37.65985","127.028476","02-0000-0000","유료"
"56","예시시설 056","박물관","서울특별시 강북구 (예시 주소)","강북구","37.639374","127.035656","02-0000-0000","유료"
"57","예시시설 057","공연장","서울특별시 도봉구 (예시 주소)","도봉구","37.655843","127.04773","02-0000-0000","유료"
"58","예시시설 058","박물관","서울특별시 도봉구 (예시 주소)","도봉구","37.679704","127.029145","02-0000-0000","유료"
"59","예시시설 059","박물관","서울특별시 도봉구 (예시 주소)","도봉구","37.665679","127.03895","02-0000-0000","무료"
"60","예시시설 060","박물관","서울특별시 도봉구 (예시 주소)","도봉구","37.692263","127.055747","02-0000-0000","유료"
"61","예시시설 061","미술관","서울특별시 도봉구 (예시 주소)","도봉구","37.662401","127.039785","02-0000-0000","무료"
"62","예시시설 062","도서관","서울특별시 도봉구 (예시 주소)","도봉구","37.681808","127.034882","02-0000-0000","유료"
"63","예시시설 063","생활문화센터","서울특별시 도봉구 (예시 주소)","도봉구","37.675727","127.051976","02-0000-0000","무료"
"64","예시시설 064","공연장","서울특별시 도봉구 (예시 주소)","도봉구","37.658451","127.052427","02-0000-0000","유료"
"65","예시시설 065","공연장","서울특별시 도봉구 (예시 주소)","도봉구","37.666034","127.051719","02-0000-0000","유료"
"66","예시시설 066","생활문화센터","서울특별시 도봉구 (예시 주소)","도봉구","37.674984","127.056311","02-0000-0000","유료"
"67","예시시설 067","공연장","서울특별시 노원구 (예시 주소)","노원구","37.669254","127.069126","02-0000-0000","무료"
"68","예시시설 068","공연장","서울특별시 노원구 (예시 주소)","노원구","37.643222","127.07128","02-0000-0000","무료"
"69","예시시설 069","박물관","서울특별시 노원구 (예시 주소)","노원구","37.661411","127.091815","02-0000-0000","무료"
"70","예시시설 070","생활문화센터","서울특별시 노원구 (예시 주소)","노원구","37.679311","127.100139","02-0000-0000","무료"
"71","예시시설 071","미술관","서울특별시 노원구 (예시 주소)","노원구","37.670339","127.078589","02-0000-0000","무료"
"72","예시시설 072","공연장","서울특별시 노원구 (예시 주소)","노원구","37.659958","127.083471","02-0000-0000","무료"
"73","예시시설 073","미술관","서울특별시 노원구 (예시 주소)","노원구","37.662786","127.097281","02-0000-0000","유료"
"74","예시시설 074","미술관","서울특별시 노원구 (예시 주소)","노원구","37.643878","127.06426","02-0000-0000","유료"
"75","예시시설 075","박물관","서울특별시 노원구 (예시 주소)","노원구","37.655496","127.051536","02-0000-0000","유료"
"76","예시시설 076","생활문화센터","서울특별시 노원구 (예시 주소)","노원구","37.655346","127.082421","02-0000-0000","무료"
"77","예시시설 077","생활문화센터","서울특별시 은평구 (예시 주소)","은평구","37.606272","126.962307","02-0000-0000","무료"
"78","예시시설 078","공연장","서울특별시 은평구 (예시 주소)","은평구","37.591993","126.90002","02-0000-0000","무료"
"79","예시시설 079","공연장","서울특별시 은평구 (예시 주소)","은평구","37.607924","126.959335","02-0000-0000","무료"
"80","예시시설 080","문화원","서울특별시 은평구 (예시 주소)","은평구","37.614182","126.945812","02-0000-0000","유료"
"81","예시시설 081","문화원","서울특별시 은평구 (예시 주소)","은평구","37.627484","126.946546","02-0000-0000","무료"
"82","예시시설 082","미술관","서울특별시 은평구 (예시 주소)","은평구","37.584337","126.938338","02-0000-0000","무료"
"83","예시시설 083","공연장","서울특별시 은평구 (예시 주소)","은평구","37.591789","126.941896","02-0000-0000","유료"
"84","예시시설 084","생활문화센터","서울특별시 은평구 (예시 주소)","은평구","37.609024","126.926545","02-0000-0000","유료"
"85","예시시설 085","공연장","서울특별시 은평구 (예시 주소)","은평구","37.633113","126.932459","02-0000-0000","유료"
"86","예시시설 086","생활문화센터","서울특별시 은평구 (예시 주소)","은평구","37.577574","126.952551","02-0000-0000","무료"
"87","예시시설 087","문화원","서울특별시 은평구 (예시 주소)","은평구","37.597131","126.949893","02-0000-0000","유료"
"88","예시시설 088","생활문화센터","서울특별시 은평구 (예시 주소)","은평구","37.609581","126.926107","02-0000-0000","무료"
"89","예시시설 089","도서관","서울특별시 은평구 (예시 주소)","은평구","37.624608","126.925116","02-0000-0000","유료"
"90","예시시설 090","도서관","서울특별시 서대문구 (예시 주소)","서대문구","37.572718","126.953341","02-0000-0000","무료"
"91","예시시설 091","공연장","서울특별시 서대문구 (예시 주소)","서대문구","37.596422","126.939391","02-0000-0000","유료"
"92","예시시설 092","박물관","서울특별시 서대문구 (예시 주소)","서대문구","37.579973","126.901203","02-0000-0000","무료"
"93","예시시설 093","미술관","서울특별시 서대문구 (예시 주소)","서대문구","37.562191","126.962804","02-0000-0000","무료"
"94","예시시설 094","문화원","서울특별시 서대문구 (예시 주소)","서대문구","37.549083","126.961967","02-0000-0000","유료"
"95","예시시설 095","박물관","서울특별시 서대문구 (예시 주소)","서대문구","37.570776","126.938943","02-0000-0000","무료"
"96","예시시설 096","생활문화센터","서울특별시 마포구 (예시 주소)","마포구","37.573513","126.8944","02-0000-0000","무료"
"97","예시시설 097","문화원","서울특별시 마포구 (예시 주소)","마포구","37.56474","126.909066","02-0000-0000","무료"
"98","예시시설 098","박물관","서울특별시 마포구 (예시 주소)","마포구","37.574442","126.881295","02-0000-0000","무료"
"99","예시시설 099","문화원","서울특별시 마포구 (예시 주소)","마포구","37.57746","126.901474","02-0000-0000","무료"
"100","예시시설 100","박물관","서울특별시 마포구 (예시 주소)","마포구","37.560546","126.899043","02-0000-0000","무료"
"101","예시시설 101","미술관","서울특별시 마포구 (예시 주소)","마포구","37.587014","126.927629","02-0000-0000","유료"
"102","예시시설 102","박물관","서울특별시 마포구 (예시 주소)","마포구","37.555482","126.921781","02-0000-0000","유료"
"103","예시시설 103","박물관","서울특별시 마포구 (예시 주소)","마포구","37.570432","126.927345","02-0000-0000","유료"
"104","예시시설 104","공연장","서울특별시 마포구 (예시 주소)","마포구","37.568806","126.904272","02-0000-0000","무료"
"105","예시시설 105","문화원","서울특별시 양천구 (예시 주소)","양천구","37.531126","126.9004","02-0000-0000","무료"
"106","예시시설 106","도서관","서울특별시 양천구 (예시 주소)","양천구","37.508337","126.878422","02-0000-0000","유료"
"107","예시시설 107","문화원","서울특별시 양천구 (예시 주소)","양천구","37.53909","126.83707","02-0000-0000","유료"
"108","예시시설 108","공연장","서울특별시 양천구 (예시 주소)","양천구","37.51487","126.836063","02-0000-0000","유료"
"109","예시시설 109","생활문화센터","서울특별시 양천구 (예시 주소)","양천구","37.507906","126.872838","02-0000-0000","무료"
"110","예시시설 110","미술관","서울특별시 양천구 (예시 주소)","양천구","37.532632","126.860568","02-0000-0000","유료"
"111","예시시설 111","도서관","서울특별시 양천구 (예시 주소)","양천구","37.52707","126.868842","02-0000-0000","유료"
"112","예시시설 112","문화원","서울특별시 양천구 (예시 주소)","양천구","37.540692","126.844656","02-0000-0000","유료"
"113","예시시설 113","공연장","서울특별시 양천구 (예시 주소)","양천구","37.508044","126.872836","02-0000-0000","무료"
"114","예시시설 114","박물관","서울특별시 양천구 (예시 주소)","양천구","37.530095","126.86416","02-0000-0000","무료"
"115","예시시설 115","공연장","서울특별시 강서구 (예시 주소)","강서구","37.555473","126.843613","02-0000-0000","무료"
"116","예시시설 116","공연장","서울특별시 강서구 (예시 주소)","강서구","37.531443","126.843316","02-0000-0000","무료"
"117","예시시설 117","문화원","서울특별시 강서구 (예시 주소)","강서구","37.569838","126.835217","02-0000-0000","유료"
"118","예시시설 118","미술관","서울특별시 강서구 (예시 주소)","강서구","37.563576","126.865573","02-0000-0000","유료"
"119","예시시설 119","미술관","서울특별시 강서구 (예시 주소)","강서구","37.544661","126.809753","02-0000-0000","무료"
"120","예시시설 120","생활문화센터","서울특별시 강서구 (예시 주소)","강서구","37.555489","126.855909","02-0000-0000","유료"
"121","예시시설 121","문화원","서울특별시 강서구 (예시 주소)","강서구","37.560588","126.868005","02-0000-0000","유료"
"122","예시시설 122","공연장","서울특별시 강서구 (예시 주소)","강서구","37.524504","126.872195","02-0000-0000","무료"
"123","예시시설 123","박물관","서울특별시 강서구 (예시 주소)","강서구","37.558786","126.840694","02-0000-0000","무료"
"124","예시시설 124","도서관","서울특별시 강서구 (예시 주소)","강서구","37.555351","126.852352","02-0000-0000","무료"
"125","예시시설 125","생활문화센터","서울특별시 강서구 (예시 주소)","강서구","37.553416","126.856812","02-0000-0000","무료"
"126","예시시설 126","박물관","서울특별시 강서구 (예시 주소)","강서구","37.551127","126.84342","02-0000-0000","유료"
"127","예시시설 127","도서관","서울특별시 강서구 (예시 주소)","강서구","37.559413","126.834378","02-0000-0000","유료"
"128","예시시설 128","문화원","서울특별시 구로구 (예시 주소)","구로구","37.47925","126.866059","02-0000-0000","유료"
"129","예시시설 129","문화원","서울특별시 구로구 (예시 주소)","구로구","37.490643","126.88579","02-0000-0000","유료"
"130","예시시설 130","미술관","서울특별시 구로구 (예시 주소)","구로구","37.484914","126.868451","02-0000-0000","무료"
"131","예시시설 131","박물관","서울특별시 구로구 (예시 주소)","구로구","37.503681","126.888119","02-0000-0000","무료"
"132","예시시설 132","생활문화센터","서울특별시 구로구 (예시 주소)","구로구","37.516171","126.900262","02-0000-0000","유료"
"133","예시시설 133","도서관","서울특별시 구로구 (예시 주소)","구로구","37.491743","126.86986","02-0000-0000","무료"
"134","예시시설 134","도서관","서울특별시 구로구 (예시 주소)","구로구","37.497054","126.866259","02-0000-0000","무료"
"135","예시시설 135","미술관","서울특별시 금천구 (예시 주소)","금천구","37.463118","126.890853","02-0000-0000","무료"
"136","예시시설 136","도서관","서울특별시 금천구 (예시 주소)","금천구","37.45872","126.899391","02-0000-0000","유료"
"137","예시시설 137","도서관","서울특별시 금천구 (예시 주소)","금천구","37.453674","126.898624","02-0000-0000","무료"
"138","예시시설 138","도서관","서울특별시 영등포구 (예시 주소)","영등포구","37.514498","126.871405","02-0000-0000","무료"
"139","예시시설 139","도서관","서울특별시 영등포구 (예시 주소)","영등포구","37.536306","126.900227","02-0000-0000","무료"
"140","예시시설 140","박물관","서울특별시 영등포구 (예시 주소)","영등포구","37.514122","126.883089","02-0000-0000","무료"
"141","예시시설 141","문화원","서울특별시 영등포구 (예시 주소)","영등포구","37.507024","126.880427","02-0000-0000","무료"
"142","예시시설 142","공연장","서울특별시 영등포구 (예시 주소)","영등포구","37.51","126.894919","02-0000-0000","무료"
"143","예시시설 143","도서관","서울특별시 영등포구 (예시 주소)","영등포구","37.542214","126.889337","02-0000-0000","무료"
"144","예시시설 144","공연장","서울특별시 영등포구 (예시 주소)","영등포구","37.544017","126.877709","02-0000-0000","무료"
"145","예시시설 145","박물관","서울특별시 영등포구 (예시 주소)","영등포구","37.5572","126.882835","02-0000-0000","무료"
"146","예시시설 146","문화원","서울특별시 동작구 (예시 주소)","동작구","37.519417","126.947309","02-0000-0000","무료"
"147","예시시설 147","생활문화센터","서울특별시 동작구 (예시 주소)","동작구","37.526301","126.92817","02-0000-0000","유료"
"148","예시시설 148","문화원","서울특별시 동작구 (예시 주소)","동작구","37.507188","126.938395","02-0000-0000","유료"
"149","예시시설 149","도서관","서울특별시 동작구 (예시 주소)","동작구","37.501707","126.916569","02-0000-0000","유료"
"150","예시시설 150","생활문화센터","서울특별시 동작구 (예시 주소)","동작구","37.52852","126.920172","02-0000-0000","무료"
"151","예시시설 151","박물관","서울특별시 동작구 (예시 주소)","동작구","37.514401","126.926553","02-0000-0000","무료"
"152","예시시설 152","도서관","서울특별시 동작구 (예시 주소)","동작구","37.510811","126.934043","02-0000-0000","무료"
"153","예시시설 153","생활문화센터","서울특별시 동작구 (예시 주소)","동작구","37.514192","126.941733","02-0000-0000","유료"
"154","예시시설 154","문화원","서울특별시 동작구 (예시 주소)","동작구","37.517593","126.919169","02-0000-0000","유료"
"155","예시시설 155","미술관","서울특별시 관악구 (예시 주소)","관악구","37.477332","126.952156","02-0000-0000","유료"
"156","예시시설 156","도서관","서울특별시 관악구 (예시 주소)","관악구","37.468265","126.950496","02-0000-0000","무료"
"157","예시시설 157","도서관","서울특별시 관악구 (예시 주소)","관악구","37.481185","126.952882","02-0000-0000","유료"
"158","예시시설 158","박물관","서울특별시 관악구 (예시 주소)","관악구","37.475257","126.962773","02-0000-0000","유료"
"159","예시시설 159","박물관","서울특별시 관악구 (예시 주소)","관악구","37.496983","126.945652","02-0000-0000","무료"
"160","예시시설 160","박물관","서울특별시 관악구 (예시 주소)","관악구","37.469036","126.957578","02-0000-0000","유료"
"161","예시시설 161","문화원","서울특별시 관악구 (예시 주소)","관악구","37.489513","126.921314","02-0000-0000","무료"
"162","예시시설 162","공연장","서울특별시 관악구 (예시 주소)","관악구","37.485881","126.96087","02-0000-0000","유료"
"163","예시시설 163","생활문화센터","서울특별시 관악구 (예시 주소)","관악구","37.488727","126.940735","02-0000-0000","무료"
"164","예시시설 164","생활문화센터","서울특별시 관악구 (예시 주소)","관악구","37.487619","126.960769","02-0000-0000","유료"
"165","예시시설 165","문화원","서울특별시 서초구 (예시 주소)","서초구","37.484335","127.004168","02-0000-0000","무료"
"166","예시시설 166","박물관","서울특별시 서초구 (예시 주소)","서초구","37.485154","127.032481","02-0000-0000","무료"
"167","예시시설 167","공연장","서울특별시 서초구 (예시 주소)","서초구","37.482746","127.034806","02-0000-0000","무료"
"168","예시시설 168","박물관","서울특별시 서초구 (예시 주소)","서초구","37.489683","127.027118","02-0000-0000","무료"
"169","예시시설 169","생활문화센터","서울특별시 서초구 (예시 주소)","서초구","37.480882","127.03334","02-0000-0000","무료"
"170","예시시설 170","공연장","서울특별시 서초구 (예시 주소)","서초구","37.481253","127.024775","02-0000-0000","무료"
"171","예시시설 171","생활문화센터","서울특별시 서초구 (예시 주소)","서초구","37.502083","127.041898","02-0000-0000","무료"
"172","예시시설 172","생활문화센터","서울특별시 서초구 (예시 주소)","서초구","37.489779","127.026482","02-0000-0000","유료"
"173","예시시설 173","공연장","서울특별시 서초구 (예시 주소)","서초구","37.470577","127.028747","02-0000-0000","유료"
"174","예시시설 174","도서관","서울특별시 서초구 (예시 주소)","서초구","37.47953","127.004666","02-0000-0000","무료"
"175","예시시설 175","생활문화센터","서울특별시 서초구 (예시 주소)","서초구","37.489539","127.017202","02-0000-0000","무료"
"176","예시시설 176","문화원","서울특별시 강남구 (예시 주소)","강남구","37.50913","127.028647","02-0000-0000","유료"
"177","예시시설 177","도서관","서울특별시 강남구 (예시 주소)","강남구","37.525292","127.041173","02-0000-0000","유료"
"178","예시시설 178","문화원","서울특별시 강남구 (예시 주소)","강남구","37.496394","127.040923","02-0000-0000","무료"
"179","예시시설 179","공연장","서울특별시 강남구 (예시 주소)","강남구","37.520081","127.05911","02-0000-0000","유료"
"180","예시시설 180","생활문화센터","서울특별시 강남구 (예시 주소)","강남구","37.504956","127.032192","02-0000-0000","유료"
"181","예시시설 181","미술관","서울특별시 강남구 (예시 주소)","강남구","37.532049","127.038376","02-0000-0000","무료"
"182","예시시설 182","문화원","서울특별시 강남구 (예시 주소)","강남구","37.551095","127.052299","02-0000-0000","무료"
"183","예시시설 183","미술관","서울특별시 강남구 (예시 주소)","강남구","37.524769","127.047379","02-0000-0000","무료"
"184","예시시설 184","문화원","서울특별시 강남구 (예시 주소)","강남구","37.512296","127.068179","02-0000-0000","무료"
"185","예시시설 185","도서관","서울특별시 강남구 (예시 주소)","강남구","37.517251","127.045602","02-0000-0000","무료"
"186","예시시설 186","공연장","서울특별시 송파구 (예시 주소)","송파구","37.520337","127.094691","02-0000-0000","유료"
"187","예시시설 187","도서관","서울특별시 송파구 (예시 주소)","송파구","37.50446","127.102561","02-0000-0000","무료"
"188","예시시설 188","박물관","서울특별시 송파구 (예시 주소)","송파구","37.492622","127.111622","02-0000-0000","유료"
"189","예시시설 189","도서관","서울특별시 송파구 (예시 주소)","송파구","37.500516","127.090093","02-0000-0000","유료"
"190","예시시설 190","박물관","서울특별시 송파구 (예시 주소)","송파구","37.49711","127.111955","02-0000-0000","유료"
"191","예시시설 191","공연장","서울특별시 송파구 (예시 주소)","송파구","37.49933","127.091009","02-0000-0000","유료"
"192","예시시설 192","도서관","서울특별시 송파구 (예시 주소)","송파구","37.496968","127.119601","02-0000-0000","무료"
"193","예시시설 193","공연장","서울특별시 송파구 (예시 주소)","송파구","37.51436","127.106318","02-0000-0000","유료"
"194","예시시설 194","도서관","서울특별시 송파구 (예시 주소)","송파구","37.527762","127.096057","02-0000-0000","유료"
"195","예시시설 195","도서관","서울특별시 송파구 (예시 주소)","송파구","37.500256","127.118769","02-0000-0000","유료"
"196","예시시설 196","문화원","서울특별시 송파구 (예시 주소)","송파구","37.516551","127.12198","02-0000-0000","유료"
"197","예시시설 197","도서관","서울특별시 송파구 (예시 주소)","송파구","37.50853","127.096573","02-0000-0000","무료"
"198","예시시설 198","공연장","서울특별시 송파구 (예시 주소)","송파구","37.53834","127.107773","02-0000-0000","유료"
"199","예시시설 199","박물관","서울특별시 송파구 (예시 주소)","송파구","37.53743","127.089922","02-0000-0000","유료"
"200","예시시설 200","도서관","서울특별시 송파구 (예시 주소)","송파구","37.519149","127.100423","02-0000-0000","무료"
"201","예시시설 201","미술관","서울특별시 송파구 (예시 주소)","송파구","37.50782","127.120346","02-0000-0000","무료"
"202","예시시설 202","미술관","서울특별시 강동구 (예시 주소)","강동구","37.53558","127.112881","02-0000-0000","유료"
"203","예시시설 203","생활문화센터","서울특별시 강동구 (예시 주소)","강동구","37.529894","127.107699","02-0000-0000","유료"
"204","예시시설 204","문화원","서울특별시 강동구 (예시 주소)","강동구","37.541295","127.134059","02-0000-0000","무료"
"205","예시시설 205","박물관","서울특별시 강동구 (예시 주소)","강동구","37.530236","127.122522","02-0000-0000","유료"
"206","예시시설 206","박물관","서울특별시 강동구 (예시 주소)","강동구","37.529711","127.119638","02-0000-0000","유료"
"207","예시시설 207","문화원","서울특별시 강동구 (예시 주소)","강동구","37.519429","127.105495","02-0000-0000","무료"
"208","예시시설 208","박물관","서울특별시 강동구 (예시 주소)","강동구","37.52673","127.135026","02-0000-0000","유료"
"209","예시시설 209","박물관","서울특별시 강동구 (예시 주소)","강동구","37.534963","127.109215","02-0000-0000","유료"
"210","예시시설 210","공연장","서울특별시 강동구 (예시 주소)","강동구","37.543136","127.12635","02-0000-0000","유료"
"211","예시시설 211","미술관","서울특별시 강동구 (예시 주소)","강동구","37.505861","127.114869","02-0000-0000","유료"
"212","예시시설 212","생활문화센터","서울특별시 강동구 (예시 주소)","강동구","37.521626","127.144066","02-0000-0000","유료"
"213","예시시설 213","문화원","서울특별시 강동구 (예시 주소)","강동구","37.534056","127.094237","02-0000-0000","유료"
"214","예시시설 214","공연장","서울특별시 강동구 (예시 주소)","강동구","37.537669","127.110137","02-0000-0000","무료"
"215","예시시설 215 (좌표없음)","도서관","서울특별시 중구 (예시 주소)","중구","","","02-0000-0000","무료"
"216","예시시설 216 (좌표없음)","공연장","서울특별시 마포구 (예시 주소)","마포구","","","","무료"
"217","예시시설 217 (범위밖)","박물관","경기도 (예시 주소)","중구","35.1798","129.0750","051-000-0000","유료"
"218","예시시설 218 (좌표뒤바뀜)","미술관","서울특별시 종로구 (예시 주소)","종로구","126.9780","37.5730","02-0000-0000","무료"
